"","x"
"1",0.802801566065475
"2",0.48164161239686
"3",0.510319395052011
"4",0.185854872871653
"5",0.127330471980046
"6",0.956392403170496
"7",0.938828131836454
"8",0.0932455513522102
"9",0.787528473799937
"10",0.28102614109482
"11",0.364135681583825
"12",0.913977982040674
"13",0.0536667260737229
"14",0.953795691587916
"15",0.292066929618394
"16",0.165251093050013
"17",0.226572567958387
"18",0.0165924603264208
"19",0.457317329298667
"20",0.00664185997735443
"21",0.735603444547801
"22",0.631070071795428
"23",0.331123508250571
"24",0.240672630430907
"25",0.977816753714938
"26",0.919798947194932
"27",0.830066037674825
"28",0.493824876810118
"29",0.00364015574019389
"30",0.154287599652697
"31",0.49803582159762
"32",0.106214401817262
"33",0.156480851072174
"34",0.888422450771427
"35",0.201503346386996
"36",0.71144969734348
"37",0.0168351411321019
"38",0.141235738068406
"39",0.806921278482734
"40",0.940022679840114
"41",0.835771900192757
"42",0.151709391589228
"43",0.0486373437580292
"44",0.0870850608715278
"45",0.594684865625874
"46",0.530462742442265
"47",0.831010531591105
"48",0.698016256091253
"49",0.271972058039566
"50",0.54914392066733
"51",0.476605776480619
"52",0.231104044677471
"53",0.755937368499129
"54",0.132242147681186
"55",0.718460238635242
"56",0.551637553920772
"57",0.479668870249559
"58",0.594232378308315
"59",0.273498918741115
"60",0.140525763777117
"61",0.551017505353998
"62",0.238280726951354
"63",0.250528518522518
"64",0.537465106720851
"65",0.760229309954901
"66",0.00226643894703217
"67",0.570712923319915
"68",0.543766533797824
"69",0.741230049176916
"70",0.40603677068808
"71",0.877999569238112
"72",0.87613337087166
"73",0.954448505018078
"74",0.555607907325037
"75",0.12191115975722
"76",0.644778632753785
"77",0.38631369150709
"78",0.753306752114194
"79",0.466724565259537
"80",0.71222703420459
"81",0.137039146360467
"82",0.16296628888529
"83",0.376579485846576
"84",0.443275838641142
"85",0.99195117780359
"86",0.413075174826276
"87",0.415172477657433
"88",0.0940015148233558
"89",0.376687246400513
"90",0.791934772368226
"91",0.966826461041694
"92",0.120522704782565
"93",0.396845217885231
"94",0.268684406538738
"95",0.556200009691996
"96",0.928978688963487
"97",0.424271949655072
"98",0.085073844387117
"99",0.734552266220948
"100",0.219161270598939
"101",0.258617661403261
"102",0.736659159813116
"103",0.00602465241043194
"104",0.992447384667622
"105",0.789355349859974
"106",0.689322863136106
"107",0.216989286864301
"108",0.368378163751416
"109",0.929086889101731
"110",0.825615615366018
"111",0.296633436177637
"112",0.199006986686392
"113",0.420382407120203
"114",0.719953682547523
"115",0.903036272746627
"116",0.553479902975902
"117",0.974343025804251
"118",0.81560977407754
"119",0.478228629076993
"120",0.526226930407745
"121",0.00888382376421944
"122",0.167191232384073
"123",0.525341218785388
"124",0.604711029772327
"125",0.815009889578224
"126",0.709081613838585
"127",0.713444279007749
"128",0.881688493225056
"129",0.378337734134925
"130",0.457924188473573
"131",0.721774678236126
"132",0.494974324581424
"133",0.622313891393152
"134",0.523098722281947
"135",0.028750839331869
"136",0.555518901281673
"137",0.832254296273387
"138",0.300819342820408
"139",0.871069676299937
"140",0.64191061104052
"141",0.527236617843312
"142",0.204570246006089
"143",0.682434938857755
"144",0.418843827585306
"145",0.236672607414199
"146",0.639726004623869
"147",0.147185314228877
"148",0.956864294130539
"149",0.274925950964036
"150",0.371184165427444
"151",0.385018719909607
"152",0.341946270408248
"153",0.74898793734234
"154",0.224955005740526
"155",0.430472852089711
"156",0.787844226183499
"157",0.149768376811843
"158",0.029690274768984
"159",0.64989766186285
"160",0.833598982341467
"161",0.056445644886065
"162",0.20897109680233
"163",0.0676660292105924
"164",0.22093111106075
"165",0.721670887910796
"166",0.101266408722351
"167",0.93392446644173
"168",0.161984885254011
"169",0.824878979168897
"170",0.886446052251264
"171",0.324037622487915
"172",0.134381965392922
"173",0.43286233645859
"174",0.439626898665381
"175",0.650622248141409
"176",0.821993403885662
"177",0.199523442833907
"178",0.26577234630098
"179",0.191904299862495
"180",0.856212429857892
"181",0.517908263982556
"182",0.22432589680101
"183",0.252450138970644
"184",0.568034669313971
"185",0.155933946726451
"186",0.383625518914548
"187",0.0690329385005866
"188",0.115650800751035
"189",0.572095660438944
"190",0.584750805102035
"191",0.587223878475879
"192",0.834001475325961
"193",0.66379864107289
"194",0.478637298127874
"195",0.211833882153798
"196",0.577081437760855
"197",0.434068478032696
"198",0.652998893295749
"199",0.99714225682955
"200",0.350842353172973
"201",0.388066247551187
"202",0.635466764235881
"203",0.0551333087771171
"204",0.785385370847429
"205",0.702881357276228
"206",0.745312726616275
"207",0.131464423389839
"208",0.850156393735614
"209",0.057688984419541
"210",0.705371345798342
"211",0.971694870284848
"212",0.982974296276665
"213",0.486883390767157
"214",0.0623084515746008
"215",0.959221119806816
"216",0.266882892258064
"217",0.329396392216943
"218",0.217361826648594
"219",0.741586366717016
"220",0.0290780255640375
"221",0.132600616576689
"222",0.853444534646513
"223",0.216730074149635
"224",0.88167984123731
"225",0.522577625353492
"226",0.0170627270597012
"227",0.482680951284078
"228",0.974472723198377
"229",0.207054340186928
"230",0.162577348042849
"231",0.204020553280246
"232",0.493830615620505
"233",0.179842202858888
"234",0.811496532024637
"235",0.443107130933701
"236",0.922937578218562
"237",0.642021542282539
"238",0.974314823956359
"239",0.232955467609523
"240",0.21477588953816
"241",0.89840094237227
"242",0.42850135838047
"243",0.276976275550644
"244",0.942171489472375
"245",0.922048303355611
"246",0.0577502566046619
"247",0.453952065556206
"248",0.335927184979167
"249",0.436602336975558
"250",0.175408998378224
"251",0.967088137104863
"252",0.769985126027003
"253",0.0744890402977845
"254",0.130401327857905
"255",0.478901956286281
"256",0.989192618170808
"257",0.780750906137508
"258",0.571472005790734
"259",0.84954908426619
"260",0.171199146963555
"261",0.933117410142412
"262",0.625937660976361
"263",0.878343920678692
"264",0.887045389598503
"265",0.0576552761262727
"266",0.606360975011275
"267",0.47776965090598
"268",0.953877261950961
"269",0.575357336884421
"270",0.358661216897243
"271",0.59942539076017
"272",0.635935738293274
"273",0.325336759891768
"274",0.408292330389165
"275",0.918642263512023
"276",0.33737010975805
"277",0.298387195490643
"278",0.0575523081588738
"279",0.605307746843191
"280",0.288709966755026
"281",0.378657758961305
"282",0.236465256800242
"283",0.498928017088512
"284",0.164065721834432
"285",0.202148355798717
"286",0.476923924691789
"287",0.136351372473687
"288",0.794905765308519
"289",0.974775073382838
"290",0.304232550589042
"291",0.277338205241245
"292",0.44645390419557
"293",0.106458912206359
"294",0.379626704289024
"295",0.0287879544035198
"296",0.352493149175194
"297",0.87581948532442
"298",0.888953424376959
"299",0.977616938898489
"300",0.66313485759282
"301",0.0233899014836293
"302",0.27384012650197
"303",0.107696065894559
"304",0.150374933772538
"305",0.117066492257619
"306",0.665865728536509
"307",0.657705501054834
"308",0.723238147062123
"309",0.450584835791557
"310",0.283719555637095
"311",0.712963549795423
"312",0.863152641851419
"313",0.00848480554466388
"314",0.685914331073013
"315",0.843201538089845
"316",0.442272963831018
"317",0.985230271813329
"318",0.891055353087892
"319",0.329618633283652
"320",0.530199811421778
"321",0.166773533694097
"322",0.949767980813438
"323",0.0369262138456965
"324",0.543807586036126
"325",0.28749010120983
"326",0.998679537169301
"327",0.947609898466861
"328",0.818606800746515
"329",0.37129328897213
"330",0.826350003350177
"331",0.497400935663487
"332",0.0495519492010339
"333",0.327854858060828
"334",0.590945124016612
"335",0.431599039145631
"336",0.744978730086971
"337",0.885514048769177
"338",0.607865804809043
"339",0.708697241133916
"340",0.964940878590534
"341",0.534244271103427
"342",0.255209899544029
"343",0.574625267428087
"344",0.630178386203706
"345",0.601548128945182
"346",0.712859118254425
"347",0.699079191435684
"348",0.88570099736273
"349",0.481593675821269
"350",0.417886255104558
"351",0.73629023635481
"352",0.98493143923465
"353",0.849395042097073
"354",0.149066332267558
"355",0.743311168413771
"356",0.832747469353771
"357",0.0341931338045975
"358",0.960748882494385
"359",0.618854582220278
"360",0.735459626904784
"361",0.00942515274668762
"362",0.708953373033139
"363",0.318352314727306
"364",0.0450161246019936
"365",0.0847076548265535
"366",0.245253542689445
"367",0.828150612850863
"368",0.794313528831094
"369",0.663190962334022
"370",0.499846300790462
"371",0.414728496109958
"372",0.746585784656636
"373",0.182550389575935
"374",0.905068137586291
"375",0.787881468380696
"376",0.599793280450295
"377",0.182251802866445
"378",0.623139359010633
"379",0.360419510354742
"380",0.316589674786835
"381",0.397325804139525
"382",0.562535649373471
"383",0.650461183799245
"384",0.596570501162427
"385",0.615022858060351
"386",0.0377117998974905
"387",0.149567676307521
"388",0.448119254908715
"389",0.859462625422966
"390",0.83510382052114
"391",0.227972222553993
"392",0.0353162260752347
"393",0.663030444678275
"394",0.828328868012811
"395",0.826235397574504
"396",0.3306538967028
"397",0.606424895878112
"398",0.371772741341055
"399",0.603035437769274
"400",0.384207203040289
"401",0.674431750541598
"402",0.185480138891114
"403",0.95995957115185
"404",0.868512813686751
"405",0.635447065364105
"406",0.872838909073696
"407",0.21397960864231
"408",0.794339826589756
"409",0.180528081504004
"410",0.266254198222803
"411",0.704912798829732
"412",0.108609963532323
"413",0.790496554959855
"414",0.457780036951373
"415",0.154024428816619
"416",0.675561284771249
"417",0.633861279410602
"418",0.664997428457413
"419",0.123852009690489
"420",0.961015892708233
"421",0.874606164183734
"422",0.734171571309562
"423",0.957909349476399
"424",0.884027606540844
"425",0.476919334667935
"426",0.978432073490777
"427",0.676346037754901
"428",0.224626755937851
"429",0.0117495376598705
"430",0.533659833056506
"431",0.942414772378172
"432",0.481393496857649
"433",0.159085042107238
"434",0.984967514484523
"435",0.705940389081277
"436",0.143377102241461
"437",0.295487810554631
"438",0.778794742930988
"439",0.335070708507221
"440",0.587970386693463
"441",0.259830094527767
"442",0.668187528097918
"443",0.759543295336673
"444",0.00441272842010751
"445",0.298263999194521
"446",0.0919999142456698
"447",0.154220139759656
"448",0.519554856925499
"449",0.859906191134862
"450",0.993189833715282
"451",0.489874251614294
"452",0.037295184335798
"453",0.136638328825484
