"","x"
"1",0.500208296139313
"2",0.485644073616359
"3",0.657557731809663
"4",0.0221613373845541
"5",0.403384442377385
"6",0.653997465395068
"7",0.781550976585364
"8",0.294936983012096
"9",0.37190539708169
"10",0.509372968175498
"11",0.251595861817219
"12",0.47434908103152
"13",0.657595269236152
"14",0.0273481691134084
"15",0.187219957700506
"16",0.113132776156467
"17",0.520453266201347
"18",0.402250725577555
"19",0.713504688322402
"20",0.939274097101248
"21",0.506877048059202
"22",0.206370164931003
"23",0.936143503858053
"24",0.254780641276885
"25",0.270608648660223
"26",0.837544024723455
"27",0.373055115402236
"28",0.295945543081552
"29",0.828267198618565
"30",0.03530092211521
"31",0.885045984148386
"32",0.734055593229912
"33",0.869849631009463
"34",0.945280473235306
"35",0.0151044138947621
"36",0.518796863170899
"37",0.331577854488209
"38",0.360410111911864
"39",0.795447517577148
"40",0.229946454351929
"41",0.720244637067608
"42",0.968671258544163
"43",0.167937618598385
"44",0.598534265359043
"45",0.416790959556445
"46",0.565487620047919
"47",0.460048900597016
"48",0.388411526123499
"49",0.779030575255303
"50",0.490143705618868
"51",0.45525395362161
"52",0.40679953374615
"53",0.863782795734989
"54",0.563231706444214
"55",0.196129658265534
"56",0.437288076387932
"57",0.978954944123286
"58",0.0229387343159771
"59",0.21452436163263
"60",0.873606024668336
"61",0.443253590739176
"62",0.678467888855055
"63",0.236134314543684
"64",0.454560222994935
"65",0.728491288500502
"66",0.74387888828717
"67",0.523083627403865
"68",0.0746302539625739
"69",0.808458511325028
"70",0.324305184976115
"71",0.0266899656532059
"72",0.414249640253213
"73",0.659703812666457
"74",0.530487766151494
"75",0.46872275207392
"76",0.703037185256594
"77",0.353972758754647
"78",0.833868112245746
"79",0.399135744096532
"80",0.0237703891757174
"81",0.615400159231872
"82",0.944077410148335
"83",0.460986173502856
"84",0.581108760639436
"85",0.682584065971401
"86",0.441185203149089
"87",0.0640978540037539
"88",0.367810126762643
"89",0.0648374895255826
"90",0.255682507156878
"91",0.912702358671977
"92",0.385914550818601
"93",0.925488847307701
"94",0.398685003940331
"95",0.309216167707985
"96",0.47998392507243
"97",0.295707156604773
"98",0.779830145582877
"99",0.839045036098214
"100",0.449918779884134
"101",0.342396273888205
"102",0.670159005974674
"103",0.669106271873275
"104",0.43529518600566
"105",0.177058852347549
"106",0.863223940190908
"107",0.295526526569978
"108",0.405904480491598
"109",0.089386806261556
"110",0.862823280980781
"111",0.655763584757091
"112",0.305476937860539
"113",0.6087421170572
"114",0.1572590815374
"115",0.963399629884821
"116",0.320560539487255
"117",0.325371235594929
"118",0.509235990166281
"119",0.312882714339109
"120",0.809543652196243
"121",0.102743919100472
"122",0.0655198170372999
"123",0.428496027955081
"124",0.327472747538961
"125",0.176825708286164
"126",0.253380780393304
"127",0.0939865577810315
"128",0.533462531414323
"129",0.859997785789629
"130",0.00295158883214702
"131",0.281280738639919
"132",0.80853419153775
"133",0.479795674489763
"134",0.278212812237566
"135",0.255417677635098
"136",0.507218113327687
"137",0.979804560006672
"138",0.224782683569744
"139",0.489757010661083
"140",0.467981553326964
"141",0.123854412968678
"142",0.907459853869985
"143",0.43357798902429
"144",0.640019804800418
"145",0.517483528684033
"146",0.732960481618029
"147",0.68282548017823
"148",0.917765326812006
"149",0.964348749680878
"150",0.490281220535613
"151",0.910102829372613
"152",0.999013747902823
"153",0.987763029467115
"154",0.214738286453422
"155",0.375423563985624
"156",0.741449480443083
"157",0.840979561884789
"158",0.781233523606578
"159",0.0412698092515587
"160",0.968230687500362
"161",0.126123056356506
"162",0.639806223172036
"163",0.358217429064887
"164",0.167010792804767
"165",0.795691296412275
"166",0.994326713286951
"167",0.613398496721227
"168",0.179999514901953
"169",0.991033288982459
"170",0.917332838252128
"171",0.811941941289788
"172",0.476827835473743
"173",0.868947389806427
"174",0.237651509047083
"175",0.586195782050455
"176",0.940274982140456
"177",0.442267848541169
"178",0.530338212957719
"179",0.428012620258712
"180",0.120080669699503
"181",0.961896408946991
"182",0.454154799137951
"183",0.792988535581192
"184",0.969949611153989
"185",0.625676509713526
"186",0.845782338955671
"187",0.156570067128803
"188",0.363848985536718
"189",0.158595489078131
"190",0.305645995745309
"191",0.829346791600544
"192",0.927329775630074
"193",0.617028550404255
"194",0.828642170552049
"195",0.369259519111913
"196",0.00541186071002133
"197",0.334657217067476
"198",0.349482215995884
"199",0.666569049924197
"200",0.11383055012058
"201",0.327947285783737
"202",0.874349183849544
"203",0.409208724437386
"204",0.231145959786242
"205",0.0699080982369208
"206",0.785861550548438
"207",0.18522916093163
"208",0.500512975096148
"209",0.840312021449006
"210",0.0333497154080204
"211",0.199867243862779
"212",0.862507500191877
"213",0.319390834050562
"214",0.492918094477669
"215",0.795289457216306
"216",0.976751480750566
"217",0.646970104881272
"218",0.703413195614873
"219",0.342354220943677
"220",0.84510979778273
"221",0.9170077330605
"222",0.962560773106756
"223",0.681901118664437
"224",0.617324670505613
"225",0.742587535343981
"226",0.765552977666263
"227",0.27651465754548
"228",0.22079030624662
"229",0.0570165754944211
"230",0.171390571959594
"231",0.362558383239614
"232",0.500147491012518
"233",0.15345965006026
"234",0.482520535142504
"235",0.991069307887309
"236",0.502854650480643
"237",0.174664845010049
"238",0.0359190451723321
"239",0.600812752827654
"240",0.943749626007003
"241",0.516023922984535
"242",0.364240236525079
"243",0.331542032558107
"244",0.949659762514401
"245",0.391897389634435
"246",0.861579935393708
"247",0.344143851546888
"248",0.575392374175161
"249",0.494255804938837
"250",0.468771580390983
"251",0.157676702461931
"252",0.873504351705131
"253",0.475649999590008
"254",0.743693990931831
"255",0.360427068038332
"256",0.579658225091569
"257",0.724952856946261
"258",0.32225520823853
"259",0.18873238150345
"260",0.36555178287239
"261",0.646223789447484
"262",0.139014952093741
"263",0.855571698942586
"264",0.918442729489364
"265",0.0227618295719226
"266",0.822604406049533
"267",0.985275948534425
"268",0.285890457174772
"269",0.609366974042998
"270",0.858026855064951
"271",0.655111894967748
"272",0.468275950481355
"273",0.239447160185792
"274",0.752054053719055
"275",0.914713853621871
"276",0.0837822763083877
"277",0.178094208433304
"278",0.458281692518774
"279",0.0293497925085002
"280",0.294936188593846
"281",0.0372957822449619
"282",0.100491824385438
"283",0.0631953990621617
"284",0.533992374859776
"285",0.57593617302539
"286",0.329000291365699
"287",0.681444582887166
"288",0.286467297491227
"289",0.424963058142727
"290",0.664611599629725
"291",0.656362619424457
"292",0.334138129002053
"293",0.674482300408644
"294",0.363509686987368
"295",0.4522729796961
"296",0.398758961206086
"297",0.204773899734646
"298",0.911430244061496
"299",0.0260391308180887
"300",0.0794765717659731
"301",0.911005966973734
"302",0.00207194384576086
"303",0.593451979258216
"304",0.799914382853623
"305",0.560231980336437
"306",0.621653850898953
"307",0.538481147174115
"308",0.347098436444114
"309",0.444921263239776
"310",0.369559342617929
"311",0.440217096011787
"312",0.969674925909893
"313",0.528869338269197
"314",0.027118033224297
"315",0.238770569156155
"316",0.505826489527596
"317",0.535795133853219
"318",0.807248548999606
"319",0.214583479202719
"320",0.753991798622491
"321",0.144348016385336
"322",0.930690864718599
"323",0.452797011222335
"324",0.238825263874811
"325",0.130402014242724
"326",0.917657906190849
"327",0.123904689492516
"328",0.563232601910976
"329",0.0381975982991921
"330",0.433259446863625
"331",0.253885960085746
"332",0.174662707158826
"333",0.905468338585657
"334",0.94805615337301
"335",0.681097596269048
"336",0.569782820667429
"337",0.954303541848158
"338",0.285064034485877
"339",0.0583202922119175
"340",0.678725772572249
"341",0.231917904754666
"342",0.798260248990899
"343",0.679459744720829
"344",0.16570866445811
"345",0.4617385569696
"346",0.876580172929887
"347",0.464620133618887
"348",0.468322884022414
"349",0.923825247015542
